Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Description Text Segments 10,Video Description Text Segments 11,Video Description Text Segments 12,Video Description Text Segments 13,Video Description Text Segments 14,Video Description Text Segments 15,Video Description Text Segments 16,Video Description Text Segments 17,Video Description Text Segments 18,Video Description Text Segments 19,Video Description Text Segments 20,Video Description Text Segments 21,Video Description Text Segments 22,Video Description Text Segments 23,Video Description Text Segments 24,Video Description Text Segments 25,Video Description Text Segments 26,Video Description Text Segments 27,Video Description Text Segments 28,Video Description Text Segments 29,Video Description Text Segments 30,Video Description Text Segments 31,Video Description Text Segments 32,Video Description Text Segments 33,Video Description Text Segments 34,Video Description Text Segments 35,Video Description Text Segments 36,Video Title Text Segments 1,Video Text Update Timestamp
UvjeWcaDIiM,2023-02-28T08:59:54.815735+00:00,"The title reference is to the Rockwell song featuring Michael Jackson. This cheered me up yesterday. The video is a screen capture of the start of the weekly CNN show available only as a podcast from Sunday, February 26, 2023. The smile on Fareed’s face when he says “Let’s get started” is worth checking out on the iTunes video episode to be posted later this week. The two references are at the following times in the clip: ",0:30, and ,7:31,".

NB, the phrase let’s get started is a favorite start of lecture introduction for freshman CS majors at the University of Illinois at Urbana-Champaign circa 2005. See, for example, the following to complete the picture: 

» ",https://archive.org/details/uiuc_cs225_spring_2002_202107," (Internet Archive collection:  UIUC CS225 - Spring 2002 by Jason Zych)

This video was initially posted as unlisted from a honeymoon suite in Florida while slurping on Mountain Dew, cursing at script kiddies and archiving recent records online. In memoriam of the OpenWall (with Mexico). All this madness must end this decade (this time around). Never (ever) again! And Free Kevin:

» ",https://youtu.be/kauCzrwGk6A," (YouTube video reference: kauCzrwGk6A)
» ",https://postimg.cc/VShTCx4c,"    🍀🍀🍀
» ",https://postimg.cc/T5cwH35m,"  📞
» ",https://postimg.cc/mh00g1g2,"
» ",https://postimg.cc/PCjZTHpF,"
» ",https://postimg.cc/Rq1N0XpF,"
» ",https://postimg.cc/56jLnpcn,"      💐
» ",https://postimg.cc/crjYjY0Z,"       🌻

Thank you, Fareed, very much for the sincerely kind gesture. Miss Vanderbilt Cooper's son is conspicuous in the zipped archives linked in the next post. Apparently, pigs can fly:

» ",https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1267903486," (GitHub maxieds/ChameleonMiniLiveDebugger issue #26 comment reference: 1267903486) 

It's good to know CNN is freely covering topical events in real time again. I'm trying to stay positive looking forward to the election in 2024.

» ",https://postimg.cc/06tTk6hZ,"
» ",https://postimg.cc/3yjvdcpJ,"
» ",https://postimg.cc/mPw5KBkR,"
» ",https://postimg.cc/pmBn8XVw,"
» ",https://postimg.cc/RNBjWpHW,"
» ",https://postimg.cc/9rWYpxDR,Fareed Zakaria GPS on CNN | 2023.02.26 - Somebody’s watching me - Let’s get started - Audio only,2023-08-10T03:45:09.466584+00:00
Rmmm4oraikM,2023-03-08T16:37:31.272435+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Weird Password Settings - Screen Capture,2023-08-09T18:32:23.576636+00:00
fYC8V36xPBQ,2023-03-08T16:44:20.385689+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Account Recovery Settings - Screen Capture,2023-08-10T06:26:58.446341+00:00
MckiHpMgz2E,2023-03-08T16:47:38.414784+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.07 - Apple TV Channel Settings - Screen Capture,2023-08-09T21:46:37.13964+00:00
wgmrxSrVc-0,2023-03-08T17:05:00.153364+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Unusual AppleID Settings - Screen Capture,2023-08-11T00:10:07.286623+00:00
9qlm3iMBquU,2023-03-08T19:21:49.426471+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Analytics + Hidden Data - Screen Capture,2023-08-10T04:03:19.831548+00:00
zZZ4_nKT0pU,2023-03-08T21:15:50.858649+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.07 - Suspicious Daily Website Data - Screen Capture,2023-08-11T08:48:51.856508+00:00
Xv7nA4ZaYrQ,2023-03-11T00:27:29.291835+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casper Wyoming - Yellowstone - Selected Safari Brochure Collection Contents,2023-08-09T21:58:14.266031+00:00
ELUBrhKiGGs,2023-03-11T00:30:26.565843+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Legal Docs & Records - Highlands Personal Records Folder - From Imprisonment in Denver, COL",2023-08-11T15:06:50.765622+00:00
AcG4gs7PDvs,2023-03-11T00:32:25.09035+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandia National Labs (Albuquerque) - New Employee Passport Leaflet - Training and Orientation,2023-08-11T12:10:26.76304+00:00
